Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,counter
0.0314317849765174,0.1404123205900067,0.1021695472474737,0.143415924286771,0.1189510050196288,0
0.0760364215261045,0.1313256862258997,0.0656328708303796,0.1782010324081497,0.0,1
0.0,0.0,0.0040930859650399,0.0,0.1088645140027984,3
0.0,0.0,0.0,0.0045653636174311,0.0690136705880297,3
0.0,0.0207286788391411,0.0022274682969914,0.009121151505317,0.035688578339343,1
0.0,0.0,0.0168061792667352,0.0454842371001497,0.0,3
0.0,0.0,0.0,0.0,0.0594046814761783,4
0.0,0.0,0.0238104407065851,0.0160494614589948,0.0,3
0.0,0.0,0.0,-3.1603522903678184e-05,0.0303835127835959,4
0.0,0.0,0.0023737634536576,0.0272183794246009,0.0,3
0.0,0.0,0.0277595417954194,0.0,0.0,4
0.0,0.0269516027754451,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0250494061812907,4
0.0,0.0,0.024645064176759,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0238357176538835,4
0.0,0.0,0.0029503434373232,0.0016452454945715,0.0155137674578154,2
0.0,0.0,0.0146628769657404,0.0009089971973294,0.0,3
0.0,0.0,0.0,0.0149106854455938,0.0,4
0.0,0.0,0.0142335863891839,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0136075712590249,4
0.0,0.0,0.0,0.0041299996579973,0.0088488849001259,3
0.0,0.0,0.0,0.0128499456073446,0.0,4
0.0,0.0,0.002853845769753,0.0099373412210724,0.0,3
0.0,0.0,0.0,0.0,0.0123410674053965,4
0.0,0.0,0.0117973436279616,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0114750513208365,4
0.0,0.0109300314411071,0.0,0.000459708023571,0.0,3
0.0,0.0113169339446104,0.0,0.0,0.0,4
0.0,0.0,0.0114583233526497,0.0,-0.0003689742202707,4
0.0,0.0,0.0106522826127468,0.0,0.0,4
0.0,0.0076609911513938,0.0,0.0029409301827906,0.0,3
0.0,0.0103069129781016,0.0,0.0,0.0,4
0.0,0.0,0.0102469446883358,0.0,0.0,4
0.0,0.0100301578313352,0.0,0.0,0.0,4
0.0,0.010005079317362,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.009707426982516,4
0.0,0.0,0.0,0.0,0.0093360517263035,4
0.0,0.0,0.0124206441941786,0.0014963825586279,-0.0046637524319064,3
0.0,0.0,0.0,0.009124987342776,0.0,4
0.0,0.0,0.0,0.0,0.0089858852087159,4
0.0,0.0,0.0,0.0,0.0089320967420031,4
0.0,0.0,0.0,0.0086999158039543,0.0,4
0.0,0.0,0.0,0.0,0.0086714165145731,4
