feature,mean_importance
Hippocampus_L <=> Cerebelum_3_R,0.09271839760674756
Frontal_Inf_Orb_R <=> Insula_R,0.11269574990002176
Temporal_Inf_R <=> Cerebelum_7b_L_ratio_Frontal_Inf_Oper_L <=> Supp_Motor_Area_L,0.24055864087443468
Insula_R <=> Temporal_Sup_R_diff_Cerebelum_3_L <=> Vermis_1_2,0.5885671194206574
