feature,mean_importance
Frontal_Inf_Orb_R <=> Insula_R,0.10644082619045195
Hippocampus_L <=> Cerebelum_3_R,0.14445985508673717
Insula_R <=> Temporal_Sup_R_diff_Cerebelum_3_L <=> Vermis_1_2,0.2251895326616208
Temporal_Inf_R <=> Cerebelum_7b_L_ratio_Frontal_Inf_Oper_L <=> Supp_Motor_Area_L,0.24417407867707155
