feature,mean_importance
Hippocampus_L <=> Cerebelum_3_R,0.04862097198082773
Frontal_Inf_Orb_R <=> Insula_R,0.06565410889645898
Temporal_Inf_R <=> Cerebelum_7b_L_ratio_Frontal_Inf_Oper_L <=> Supp_Motor_Area_L,0.17283601062504167
Insula_R <=> Temporal_Sup_R_diff_Cerebelum_3_L <=> Vermis_1_2,0.3049349527848803
